Name	path	emotion
0017_000850.wav	../data/Emotion_Speech_Dataset/English\0017\Happy\0017_000850.wav	happy
0020_001152.wav	../data/Emotion_Speech_Dataset/English\0020\Sad\0020_001152.wav	sad
0015_000924.wav	../data/Emotion_Speech_Dataset/English\0015\Happy\0015_000924.wav	happy
0013_000875.wav	../data/Emotion_Speech_Dataset/English\0013\Happy\0013_000875.wav	happy
0011_001246.wav	../data/Emotion_Speech_Dataset/English\0011\Sad\0011_001246.wav	sad
0015_000935.wav	../data/Emotion_Speech_Dataset/English\0015\Happy\0015_000935.wav	happy
0011_000534.wav	../data/Emotion_Speech_Dataset/English\0011\Angry\0011_000534.wav	angry
0020_000963.wav	../data/Emotion_Speech_Dataset/English\0020\Happy\0020_000963.wav	happy
0015_000612.wav	../data/Emotion_Speech_Dataset/English\0015\Angry\0015_000612.wav	angry
0020_001178.wav	../data/Emotion_Speech_Dataset/English\0020\Sad\0020_001178.wav	sad
0013_000748.wav	../data/Emotion_Speech_Dataset/English\0013\Happy\0013_000748.wav	happy
0017_000755.wav	../data/Emotion_Speech_Dataset/English\0017\Happy\0017_000755.wav	happy
0011_000978.wav	../data/Emotion_Speech_Dataset/English\0011\Happy\0011_000978.wav	happy
0011_001080.wav	../data/Emotion_Speech_Dataset/English\0011\Sad\0011_001080.wav	sad
0017_000727.wav	../data/Emotion_Speech_Dataset/English\0017\Happy\0017_000727.wav	happy
0018_000680.wav	../data/Emotion_Speech_Dataset/English\0018\Angry\0018_000680.wav	angry
0015_001178.wav	../data/Emotion_Speech_Dataset/English\0015\Sad\0015_001178.wav	sad
0019_000740.wav	../data/Emotion_Speech_Dataset/English\0019\Happy\0019_000740.wav	happy
0017_001271.wav	../data/Emotion_Speech_Dataset/English\0017\Sad\0017_001271.wav	sad
0011_000717.wav	../data/Emotion_Speech_Dataset/English\0011\Happy\0011_000717.wav	happy
0019_000158.wav	../data/Emotion_Speech_Dataset/English\0019\Neutral\0019_000158.wav	neutral
0014_001556.wav	../data/Emotion_Speech_Dataset/English\0014\Surprise\0014_001556.wav	surprise
0018_000519.wav	../data/Emotion_Speech_Dataset/English\0018\Angry\0018_000519.wav	angry
0016_001667.wav	../data/Emotion_Speech_Dataset/English\0016\Surprise\0016_001667.wav	surprise
0011_000940.wav	../data/Emotion_Speech_Dataset/English\0011\Happy\0011_000940.wav	happy
0012_000454.wav	../data/Emotion_Speech_Dataset/English\0012\Angry\0012_000454.wav	angry
0013_000876.wav	../data/Emotion_Speech_Dataset/English\0013\Happy\0013_000876.wav	happy
0020_000846.wav	../data/Emotion_Speech_Dataset/English\0020\Happy\0020_000846.wav	happy
0014_000393.wav	../data/Emotion_Speech_Dataset/English\0014\Angry\0014_000393.wav	angry
